Author,Comment,Comment_casefolded
@IlhamjayaKusuma-w4d,Tapi seru kali lah dimimpiin cowok ganteng😊,tapi seru kali lah dimimpiin cowok ganteng😊
@indahagustin6306,"Itu gimana yah sekarang.. Apakah masih baik"" aja hubungan dengan suaminya..","itu gimana yah sekarang.. apakah masih baik"" aja hubungan dengan suaminya.."
@nabilamhrnip_,"plis bikin part 2 nya, gimana kondisi kehidupan tiara dan anak kembar nya sekarang?","plis bikin part 2 nya, gimana kondisi kehidupan tiara dan anak kembar nya sekarang?"
@Azurzz,"baru nonton di taun 2025 😭😭 epic banget sumpahh, dan otak ku Ngebayangin kejadian nya","baru nonton di taun 2025 😭😭 epic banget sumpahh, dan otak ku ngebayangin kejadian nya"
@TijanDaruri,Ka nad emng ka tiara gx ketauan suami ny kn ka tiara nyeritain ke ka nadia,ka nad emng ka tiara gx ketauan suami ny kn ka tiara nyeritain ke ka nadia
@ummuhammiyah6278,2025,2025
@arfanfaizanlupp8491,Part 2 nya 😢,part 2 nya 😢
@asepwelah9721,Gila si itu perempuan selingkuh loh,gila si itu perempuan selingkuh loh
@bdcreator4268,Gila sih gmn prasa an  suaminya,gila sih gmn prasa an  suaminya
@retnoastuti7561,Aku gak bisa tidur kalau gak nonton Nadia omara 😊😊😊❤❤❤🎉🎉🎉,aku gak bisa tidur kalau gak nonton nadia omara 😊😊😊❤❤❤🎉🎉🎉
@ameliayumnasari,yaallah kasian banget,yaallah kasian banget
@kumalakumala5782,Apa cuma aku yg nonton 2025,apa cuma aku yg nonton 2025
@ainebulae,"Tim yang nonton 2025, ada part 2 nya gak kak","tim yang nonton 2025, ada part 2 nya gak kak"
@IrmaDharmawangsha,Perh baca novel pernikahan dengan pangeran dialam gaib hampir persis sama ceritanya gni,perh baca novel pernikahan dengan pangeran dialam gaib hampir persis sama ceritanya gni
@Queen07110,Kenapa gk milih ke orang pintar atau rukiyah 😭😭😭😭,kenapa gk milih ke orang pintar atau rukiyah 😭😭😭😭
@nenksifah9348,"Penasaran lanjutannya tapi udah gak ada😭
Terus keadaan tiara sekarang gimana ya 🤔 apa masih di ganggu, berarti dia punya 2 suami dong 😅","penasaran lanjutannya tapi udah gak ada😭
terus keadaan tiara sekarang gimana ya 🤔 apa masih di ganggu, berarti dia punya 2 suami dong 😅"
@cookiez_22,Seru bgt kak nad tapi dosa ga yah takutnya anak kembar otu anak jin😢,seru bgt kak nad tapi dosa ga yah takutnya anak kembar otu anak jin😢
@raniitaa-f6i,ini cerita tersedia yg pernh ku dengar di nadia omara ☹️,ini cerita tersedia yg pernh ku dengar di nadia omara ☹️
@satriiyanaacleopatra8484,"dua tahun yg lalu, pertama kali aku tau Kak Nadia dan ini KHW pertama yg aku denger, aku liat di pesbuk trus nyari lgsg ke yt, ini cerita yg blum aku bisa lupain, dn skrg aku mau dnger lg😁","dua tahun yg lalu, pertama kali aku tau kak nadia dan ini khw pertama yg aku denger, aku liat di pesbuk trus nyari lgsg ke yt, ini cerita yg blum aku bisa lupain, dn skrg aku mau dnger lg😁"
@CantikaGrace,Siapapun plis kirim video ini ke suaminya tiara jir😭,siapapun plis kirim video ini ke suaminya tiara jir😭
@ardeliasafa,biasanya jin nya tertarik sama tu orang soalnya ygt lah,biasanya jin nya tertarik sama tu orang soalnya ygt lah
@tasyaashaa_,"kak nadia seru banget cerita, dan doa terbaik untuk kak tiara suami dan anak"" nya semoga selalu di lindungi oleh allah swt, btw ada part 2 nya ga kak nad? gimana kondisir tiara sekarang","kak nadia seru banget cerita, dan doa terbaik untuk kak tiara suami dan anak"" nya semoga selalu di lindungi oleh allah swt, btw ada part 2 nya ga kak nad? gimana kondisir tiara sekarang"
@NovitaFitriani-t6x,Bagus sih ceritanya tapi sedih banget jadi ka Tiara 😢,bagus sih ceritanya tapi sedih banget jadi ka tiara 😢
@IrmaSetiaWati-xv7lk,"Pernah kerja dirumah makan posisinya tinggal di sana, keadaan aq hamil 1bln. Mimpi di datangi  ratu kaya cinderela punya istana besar dan megah aq di kasih tunjuk istinanya di ajak keliling... Aq di tawarin dan di bujuk untuk tinggal di sana. Aq hampir bilang iya... Tapi sebelum aq sempat bilang iya.. Tiba-tiba ada pangeran mukanya kaya srigala buruk rupa tapi pake baju pangeran badannya besar berbulu, teriak di dekat telinga bilang ""jangan... Ini bukan tempat tinggalmu"" seketika aq kaget dan kebangun. Paginya bapakku nelfon... Suruh aq pulang dan berhenti kerja... Alhamdulillah aq nurut. Saat aq dirumah bapak cerita, kalo ada jin penunggu rumah makan yang inginkn bayi dalam perut aq. Btw... Waktu itu aq belum tahu kalo hamil... Bapakku termasuk orang yang peka dan ngerti hal mistis, sedangkan saya tumpul. Tapi bilang bapak... Kalo saya bisa mewarisi kemampuan bapak bila ingin mempelajarinya tapi aq gak minat dan menolak. Al Fatihah buat bapak...","pernah kerja dirumah makan posisinya tinggal di sana, keadaan aq hamil 1bln. mimpi di datangi  ratu kaya cinderela punya istana besar dan megah aq di kasih tunjuk istinanya di ajak keliling... aq di tawarin dan di bujuk untuk tinggal di sana. aq hampir bilang iya... tapi sebelum aq sempat bilang iya.. tiba-tiba ada pangeran mukanya kaya srigala buruk rupa tapi pake baju pangeran badannya besar berbulu, teriak di dekat telinga bilang ""jangan... ini bukan tempat tinggalmu"" seketika aq kaget dan kebangun. paginya bapakku nelfon... suruh aq pulang dan berhenti kerja... alhamdulillah aq nurut. saat aq dirumah bapak cerita, kalo ada jin penunggu rumah makan yang inginkn bayi dalam perut aq. btw... waktu itu aq belum tahu kalo hamil... bapakku termasuk orang yang peka dan ngerti hal mistis, sedangkan saya tumpul. tapi bilang bapak... kalo saya bisa mewarisi kemampuan bapak bila ingin mempelajarinya tapi aq gak minat dan menolak. al fatihah buat bapak..."
@febriantiandini8775,"Sumpah aku ikut kebawa ke dimensi nyaa kaya beneran ada disanaa, bagus bgt ceritanya","sumpah aku ikut kebawa ke dimensi nyaa kaya beneran ada disanaa, bagus bgt ceritanya"
@ArtasyaNovianty,Seruu banget crita yg iniiii... Untuk kak Tiara semoga sehat selalu yaa...❤❤,seruu banget crita yg iniiii... untuk kak tiara semoga sehat selalu yaa...❤❤
@AlanAditya-e1v,Team nonton awal tahun 2025,team nonton awal tahun 2025
@hernarianti6142,"Aku pernah diajak nikah sama cewek pake kebaya warna hijau...aku bingung cwk ini cp sih...smpk terakhir aku nanyak kmu manusia apa jin...dia jawab ""aku jin""..tp mimpi itu cm sekali","aku pernah diajak nikah sama cewek pake kebaya warna hijau...aku bingung cwk ini cp sih...smpk terakhir aku nanyak kmu manusia apa jin...dia jawab ""aku jin""..tp mimpi itu cm sekali"
@ayumiranda9214,Tim yg nonton 2025😂,tim yg nonton 2025😂
@justmoneyand14am88,halo saya dari 2025,halo saya dari 2025
@SuciadeRamadani,Aku dri 1 jan 2025😂,aku dri 1 jan 2025😂
@YantikasariPnd,AKU BERASA MASUK KEDALAM CERITA!! KEREN SERU BANGET,aku berasa masuk kedalam cerita!! keren seru banget
@Ciyaa31,berarti anakkk nya ganteng dongg😭,berarti anakkk nya ganteng dongg😭
@ummu_syahiira8211,"Diantara ratusan kisah, Baru kisah ini yg mampu buatku merinding","diantara ratusan kisah, baru kisah ini yg mampu buatku merinding"
@arzhiareinn1758,"Tiara menerima laki2 itu jdilah tiara tidak bisa lepas dari laki2 itu 
Hampir sama kek di mimpi ku tapi di mimpi ku aku tidak menerima laki2 itu dengan lantang jdi laki2 itu DTG di mimpi ku hanya senyum tidak bisa berbuat apa2 tapi sekarang sudah tidak perna bermimpi laki2 itu  karna aku sudah menikah😅","tiara menerima laki2 itu jdilah tiara tidak bisa lepas dari laki2 itu 
hampir sama kek di mimpi ku tapi di mimpi ku aku tidak menerima laki2 itu dengan lantang jdi laki2 itu dtg di mimpi ku hanya senyum tidak bisa berbuat apa2 tapi sekarang sudah tidak perna bermimpi laki2 itu  karna aku sudah menikah😅"
@Gwen_ashley,"Antara senang sama serem punya suami 2 alam, tapi yg di alam goib dapat suaminya anak raja pula, berasa kek keren gitu ya 😂😂😂","antara senang sama serem punya suami 2 alam, tapi yg di alam goib dapat suaminya anak raja pula, berasa kek keren gitu ya 😂😂😂"
@chandrawulan7555,"Ntah lah suka bngt sm crta ini..
Ni kisah yg pling aq suka,yg sring aq liat lgi brkli""..
Brsa d dunia fantasi,ga nyngka ada gitu ya yg kya gni..❤❤❤","ntah lah suka bngt sm crta ini..
ni kisah yg pling aq suka,yg sring aq liat lgi brkli""..
brsa d dunia fantasi,ga nyngka ada gitu ya yg kya gni..❤❤❤"
@yantinopi6238,Definisi dicintai seugal-ugalan😢😢😢❤,definisi dicintai seugal-ugalan😢😢😢❤
@derene3959,bro she needs to go to therapy wtf? seek psikolog pls,bro she needs to go to therapy wtf? seek psikolog pls
@yukeame2099,Berarti selama 8 hari Tiara tidur di dunia nyata😭,berarti selama 8 hari tiara tidur di dunia nyata😭
@FadillahFadillah-u6s,"Menurut aku endingnya
Romantis tapi aga seremm😅
Cinta ama ceritanya🤧","menurut aku endingnya
romantis tapi aga seremm😅
cinta ama ceritanya🤧"
@Zheebomm,kaya which man should I choose?,kaya which man should i choose?
@dapurmamiduta7111,"yg nonton h-1 mlm th baru 2025 😂, kak nad itu kan anaknya mirip yg ada di mimpi, suaminya kan jg lihat atau paham dengan muka tuh laki2. apa ngga curiga itu suaminya yah kak?????😅😅😅😅 sehat selalu kak nadia","yg nonton h-1 mlm th baru 2025 😂, kak nad itu kan anaknya mirip yg ada di mimpi, suaminya kan jg lihat atau paham dengan muka tuh laki2. apa ngga curiga itu suaminya yah kak?????😅😅😅😅 sehat selalu kak nadia"
@SarahSyihabay,"Aku jd keinget crita salah stu tmn ngjar tante ku,, yang sring d datangi lki laki dlm mmpi ,, dan suatu hari suaminy mninggal srangan jntung,, ktka s istri sdang mngandung,, dan stlh anak ini lahir dan berusia 2 thun ktnya si anak ini sring hilang tba tba wlpun rmah dlm kndsi trknci dan tb tb mncul kmbli,,  yang kmungkinan dia berasumsi anaknya di sukai oleh si lki lki dlm mmpinya ,, tapi tanteku brasumsi klo ank itu mungkin saja hasil dengan lki lki dr dlm mmpi tsb , entahlah","aku jd keinget crita salah stu tmn ngjar tante ku,, yang sring d datangi lki laki dlm mmpi ,, dan suatu hari suaminy mninggal srangan jntung,, ktka s istri sdang mngandung,, dan stlh anak ini lahir dan berusia 2 thun ktnya si anak ini sring hilang tba tba wlpun rmah dlm kndsi trknci dan tb tb mncul kmbli,,  yang kmungkinan dia berasumsi anaknya di sukai oleh si lki lki dlm mmpinya ,, tapi tanteku brasumsi klo ank itu mungkin saja hasil dengan lki lki dr dlm mmpi tsb , entahlah"
@SarahSyihabay,"Aku jd keinget crita salah stu tmn ngjar tante ku,, yang sring d datangi lki laki dlm mmpi ,, dan suatu hari suaminy mninggal srangan jntung,, ktka s istri sdang mngandung,, dan stlh anak ini lahir dan berusia 2 thun ktnya si anak ini sring hilang tba tba wlpun rmah dlm kndsi trknci dan tb tb mncul kmbli,,  yang kmungkinan dia berasumsi anaknya di sukai oleh si lki lki dlm mmpinya ,, tapi tanteku brasumsi klo ank itu mungkin saja hasil dengan lki lki dr dlm mmpi tsb , entahlah","aku jd keinget crita salah stu tmn ngjar tante ku,, yang sring d datangi lki laki dlm mmpi ,, dan suatu hari suaminy mninggal srangan jntung,, ktka s istri sdang mngandung,, dan stlh anak ini lahir dan berusia 2 thun ktnya si anak ini sring hilang tba tba wlpun rmah dlm kndsi trknci dan tb tb mncul kmbli,,  yang kmungkinan dia berasumsi anaknya di sukai oleh si lki lki dlm mmpinya ,, tapi tanteku brasumsi klo ank itu mungkin saja hasil dengan lki lki dr dlm mmpi tsb , entahlah"
@MeyshaAmelia-v4r,nadia di. elakang mu ada ap ? di pintu,nadia di. elakang mu ada ap ? di pintu
@AlyaHumairahUno,kk nadia lanjut dong ceritanya,kk nadia lanjut dong ceritanya
@RikaAfriyani-tq2bi,pada akhirnya suami kak tiara tau ga ya sama mimpi yg terakhir itu 😢,pada akhirnya suami kak tiara tau ga ya sama mimpi yg terakhir itu 😢
@adistiadisti8775,ini benerrr bangettt dan aku mengalami nya tapi aku belum pernah lihat muka asli yang selalu datengg saat aku tidur,ini benerrr bangettt dan aku mengalami nya tapi aku belum pernah lihat muka asli yang selalu datengg saat aku tidur
@liiyaaaa0,"kok aku jdi kasian ya sm suaminya, secara ga langsung mikirnya aku kok kaya selingkuh ga sih, mana udh smpe berhubungan.. ya allah kok malah aku yg kesel si😩 ngapa juga tiara ga cerita itu lohh, gada salahnya juga kan","kok aku jdi kasian ya sm suaminya, secara ga langsung mikirnya aku kok kaya selingkuh ga sih, mana udh smpe berhubungan.. ya allah kok malah aku yg kesel si😩 ngapa juga tiara ga cerita itu lohh, gada salahnya juga kan"
@putristg8032,"bisa jadi tiara ini reinkarnasi dan pangeran alam lain yang menunggu tiara yg sudah menjadi manusia,karena tiara mati duluan dan mereka blm sempat menikah, lalu tiara merasakan keterikatan cinta","bisa jadi tiara ini reinkarnasi dan pangeran alam lain yang menunggu tiara yg sudah menjadi manusia,karena tiara mati duluan dan mereka blm sempat menikah, lalu tiara merasakan keterikatan cinta"
@Aisyah-q6t,Aku jadi penasaran sama anak kembar tiara wak😭😭 pengen liat wajah anak nya yang katanya ganteng sama kayak bapanya,aku jadi penasaran sama anak kembar tiara wak😭😭 pengen liat wajah anak nya yang katanya ganteng sama kayak bapanya
@wilaaprilia1861,Ini kisah nyata atau gimana siii???,ini kisah nyata atau gimana siii???
@MiftaLatifah,Aku merinding banget 😢😮,aku merinding banget 😢😮
@fabianussteavenaustin8662,"Komen pertamaku, setelah sekian banyak video yang kutonton. Ini cerita emg bener cocok buat difilmkan. Dari fantasi, horrornya luarbiasa.
Dari banyaknya komen, emg bener tiba² pengen ngerasain gitu, tapi gaboleh yaa😅. Dan disisi lain juga kasian suaminya Tiara, tapi gatau juga yaa, semoga semua baik² aja sampe skrg.","komen pertamaku, setelah sekian banyak video yang kutonton. ini cerita emg bener cocok buat difilmkan. dari fantasi, horrornya luarbiasa.
dari banyaknya komen, emg bener tiba² pengen ngerasain gitu, tapi gaboleh yaa😅. dan disisi lain juga kasian suaminya tiara, tapi gatau juga yaa, semoga semua baik² aja sampe skrg."
@Mayaorjay,"Aaaa aku pernah kayak gini waktu umur 12th, sekitar th 2008 gt. Waktu itu aku mimpi ketemu cowok ganteng yang sama 3 hari berturut”. Kita kenalan di taman, trus sepedaan bareng. Aku sempet main ke sekolahnya dan dia nganter aku pulang. Dia jg main ke rumahku dan sempet nginep jg. Tp di hari terakhir (hari ke 3) ortu dia jemput dia ke rumahku, dan maksa dia buat pulang. Dia nangis karena gak mau pulang dan aku nangis karena sedih harus pisah sama dia. Intinya ortu kita memisahkan kami secara paksa. Setelah itu aku gak pernah mimpiin dia lg. Sempet sedih bgt waktu itu, bahkan aku masih inget nama dia “Roni”. Skrg kalo diinget” lg jadi rada merinding.","aaaa aku pernah kayak gini waktu umur 12th, sekitar th 2008 gt. waktu itu aku mimpi ketemu cowok ganteng yang sama 3 hari berturut”. kita kenalan di taman, trus sepedaan bareng. aku sempet main ke sekolahnya dan dia nganter aku pulang. dia jg main ke rumahku dan sempet nginep jg. tp di hari terakhir (hari ke 3) ortu dia jemput dia ke rumahku, dan maksa dia buat pulang. dia nangis karena gak mau pulang dan aku nangis karena sedih harus pisah sama dia. intinya ortu kita memisahkan kami secara paksa. setelah itu aku gak pernah mimpiin dia lg. sempet sedih bgt waktu itu, bahkan aku masih inget nama dia “roni”. skrg kalo diinget” lg jadi rada merinding."
@queenviigemoyy8947,pliss mau liat anaknyaa😭🙏,pliss mau liat anaknyaa😭🙏
@MutiTiara-g8l,tiara nma aku,tiara nma aku
@user-gy3ki8dp3v,"kak mau nanyaa, itu tanda 3 itu suaminya tau gaa kak?","kak mau nanyaa, itu tanda 3 itu suaminya tau gaa kak?"
@agutintitin6649,Hampir sama sih cerita nya dengan mimpi ku d waktu masih remaja..sumpah laki laki yg datangin aku berulang kali itu itu aja..ganteng nya masyaallah luar biasa..tapi d saat aku mimpi Dy kembali dan aku seperti ketindihan..tapi ketindihan nya itu seperti aku berhubungan sama laki laki itu..pas aku lihat wajah nya sumpah itu poci..dan aku takut nangis tapi gak bisa karna posisi nya aku k tindihan kn..makan nya dari itu sampai sekarang ini klw lihat filem horor atau yg lain nya tentang poci aku jadi takut dan benci..😢trauma sampai saat ini.,hampir sama sih cerita nya dengan mimpi ku d waktu masih remaja..sumpah laki laki yg datangin aku berulang kali itu itu aja..ganteng nya masyaallah luar biasa..tapi d saat aku mimpi dy kembali dan aku seperti ketindihan..tapi ketindihan nya itu seperti aku berhubungan sama laki laki itu..pas aku lihat wajah nya sumpah itu poci..dan aku takut nangis tapi gak bisa karna posisi nya aku k tindihan kn..makan nya dari itu sampai sekarang ini klw lihat filem horor atau yg lain nya tentang poci aku jadi takut dan benci..😢trauma sampai saat ini.
@cindyclarizhaa8597,"Aku dulu juga pernah mimpi'in seorang lelaki yang suka sama aku,, namanya saikal ,, aku masih inget nmanya saikal di dalam mimpi . Di dunia nyataa nggk ada ,,😂😂😂 cuma sekali sihhh ,, menurutku itu mimpi paling indahh .. dan ingin memimpikannya lagi dulu ,,tapi nggk bisa .. cuma sekali itu aja","aku dulu juga pernah mimpi'in seorang lelaki yang suka sama aku,, namanya saikal ,, aku masih inget nmanya saikal di dalam mimpi . di dunia nyataa nggk ada ,,😂😂😂 cuma sekali sihhh ,, menurutku itu mimpi paling indahh .. dan ingin memimpikannya lagi dulu ,,tapi nggk bisa .. cuma sekali itu aja"
@refalLinda,Pas banget hari Sabtu,pas banget hari sabtu
@neogranggagurnita9233,awesome,awesome
@ArikahSahira,wahh keren bgt si klo di cerita dibioskop mntp bgt,wahh keren bgt si klo di cerita dibioskop mntp bgt
@Gilang-gf5jx,"Tiara lont3, semoga lu di ceraikan","tiara lont3, semoga lu di ceraikan"
@MariaQibtiya-jv4iq,ga ada part 2?😢,ga ada part 2?😢
@EVITA_MIKA,Sed banget kak Nadia omara lain kali bikin yang lebih sed lagi kak hehehe biar pas malem habis takut takutan langsung nangis nangissan kak semoga di baca 😊😊😊😊,sed banget kak nadia omara lain kali bikin yang lebih sed lagi kak hehehe biar pas malem habis takut takutan langsung nangis nangissan kak semoga di baca 😊😊😊😊
@dzakiyahnisadinara,Berhubungan badan berati🤤 maaf,berhubungan badan berati🤤 maaf
@kailiyaamal1608,"aku pernah alami mimpi yg sama, serupa itu, diajak terbang sm laki2 ganteng, wangi nya semerbak, wangi yg khas yg ga pernah ad di bumi, tp setelah menikah, dia hilang, alhamdulillah 😊 ruqyah pernah,","aku pernah alami mimpi yg sama, serupa itu, diajak terbang sm laki2 ganteng, wangi nya semerbak, wangi yg khas yg ga pernah ad di bumi, tp setelah menikah, dia hilang, alhamdulillah 😊 ruqyah pernah,"
@AzkiaNayla-b9m,plotwis suaminya nonton,plotwis suaminya nonton
@VIVIZAL,Seganteng apa sii jdi pengen jumpa juga😂,seganteng apa sii jdi pengen jumpa juga😂
@firstdaughterhartono,"Hhmm ngebayanginnya koq enak banget yaa, aq sampe skrg  blm hamil2 pdhl udh nikah 😂","hhmm ngebayanginnya koq enak banget yaa, aq sampe skrg  blm hamil2 pdhl udh nikah 😂"
@Lypayy,"ga kebayang jd anaknya, klo tau mereka anak dari jin😭😭","ga kebayang jd anaknya, klo tau mereka anak dari jin😭😭"
@BilqisnurMaulidah,Lucu bgt cra bicara nya 😂,lucu bgt cra bicara nya 😂
@siskacahyani2476,Ini malah bikin ak baper² merinding 😅,ini malah bikin ak baper² merinding 😅
@Robot_biru,Telat dua tahun 🗿,telat dua tahun 🗿
@feyrebajimpak4775,Tadi katanya setelah tunangan dan menikah setelah gak ada mimpinya. Sampai punya anak baru ada mimpinya lagi dan katanya juga setelah 2 Minggu menikah. Yang bener gimana?,tadi katanya setelah tunangan dan menikah setelah gak ada mimpinya. sampai punya anak baru ada mimpinya lagi dan katanya juga setelah 2 minggu menikah. yang bener gimana?
@ahmadalfarizih6284,"Terus gmna sama suami nya 
 Kalau tiara cerita ke ka nadia 
Berarti suami nya tau bhwa tiara bersetebuh sama sosok di mimpi itu","terus gmna sama suami nya 
 kalau tiara cerita ke ka nadia 
berarti suami nya tau bhwa tiara bersetebuh sama sosok di mimpi itu"
@iimaskanah4919,Cerita ini ada di fizzo.. Samapersis,cerita ini ada di fizzo.. samapersis
@daniariyanti8755,"Ceritanya sama seperti yg aku alami dulu cuma bedanya setiap aku memimpikan mantanku pasti aku akan bertemu dgnya seperti udah di peringati ajha kalau aku bermimpi dgnya pasti aku akan bertemu dgnya ... Padahal udah sama"" punya pasangan hidup ..","ceritanya sama seperti yg aku alami dulu cuma bedanya setiap aku memimpikan mantanku pasti aku akan bertemu dgnya seperti udah di peringati ajha kalau aku bermimpi dgnya pasti aku akan bertemu dgnya ... padahal udah sama"" punya pasangan hidup .."
@nurulanisa5537,"Halo kak, saya juga pernah denger cerita sekilas tetangga ku, yg udah ga mau keluar rumah sekitar 10 tahunan (fyi beliau ini sudah meninggal). Tpi denger cerita, alm itu di sukai sama noni belanda (hantu). Sampai sering mimpi berhubungan badan, tpi ada yg pernah lihat itu bukan noni belnda, tapiiiii nenek nenek. Wallohualam. Tpi semoga alm tenang disana ya aamiin","halo kak, saya juga pernah denger cerita sekilas tetangga ku, yg udah ga mau keluar rumah sekitar 10 tahunan (fyi beliau ini sudah meninggal). tpi denger cerita, alm itu di sukai sama noni belanda (hantu). sampai sering mimpi berhubungan badan, tpi ada yg pernah lihat itu bukan noni belnda, tapiiiii nenek nenek. wallohualam. tpi semoga alm tenang disana ya aamiin"
@selvi5856,Tim yang  udah nonton 3× nggak bosan,tim yang  udah nonton 3× nggak bosan
@lalubayudemon663,Mau bilang bohong tapi aku alami kayak tiara tapi sedikit beda soalnya aku cowok,mau bilang bohong tapi aku alami kayak tiara tapi sedikit beda soalnya aku cowok
@cariafizyoutub,bagus banget kak kalok cerita yg seperti sampai¹membuat kita semua terbayang dgn cerita yg di lampirkan kak nadia di sosmed 🎉🎉❤,bagus banget kak kalok cerita yg seperti sampai¹membuat kita semua terbayang dgn cerita yg di lampirkan kak nadia di sosmed 🎉🎉❤
@awiechanel4700,Tapi sayang.. ngg ada dokumentasi aslinnya .??,tapi sayang.. ngg ada dokumentasi aslinnya .??
@Cica_nurcahyani,"GIMANA DONG REAKSI KELUARGA NGELIAT ANAK NYA KAK TIARA GAK MIRIP BAPAKNYA??? 

APALAGI😮😮SUAMI NYA YG UDAH TAU MUKA ASLI SI PRIA DI MIMPINYA.

SUMPAH IH HARUS ADA PART 2


HARUSNYA GUYS KALO ADA YANG CERITA APALAGI HAL ANEH DAN DILUAR NALAR KITA HARUS DENGERIN DULU KASIH SOLUSI KARENA ITULAH ORANG LEBIH SUKA MEMENDAM TAKUTNYA MALAH BIKIN SENGSARA KESIAN.


SAMA KAK TIARA SEMOGA DIKUATKAN YA, LEBIH RAJIN MENDEKATKAN DIRI KEPADA ALLAH SUPAYA DI JAUHKAN DARI HAL NEGATIF 😢ITU KEK NYA JIN LOH KAK BUKAN MANUSIA ASLI.
KK DISUKAI JIN","gimana dong reaksi keluarga ngeliat anak nya kak tiara gak mirip bapaknya??? 

apalagi😮😮suami nya yg udah tau muka asli si pria di mimpinya.

sumpah ih harus ada part 2


harusnya guys kalo ada yang cerita apalagi hal aneh dan diluar nalar kita harus dengerin dulu kasih solusi karena itulah orang lebih suka memendam takutnya malah bikin sengsara kesian.


sama kak tiara semoga dikuatkan ya, lebih rajin mendekatkan diri kepada allah supaya di jauhkan dari hal negatif 😢itu kek nya jin loh kak bukan manusia asli.
kk disukai jin"
@leanamey5528,"Baca2 komennya jadi males nnton pdhal komennya seru dll .. tapi gk tau tiba2 kok ngerasa sebel sama tiara, kok gk pengen ngerukiah, gk pengen gmna gtuuu ... apalagi sampai berhubungan badan","baca2 komennya jadi males nnton pdhal komennya seru dll .. tapi gk tau tiba2 kok ngerasa sebel sama tiara, kok gk pengen ngerukiah, gk pengen gmna gtuuu ... apalagi sampai berhubungan badan"
@MuhamadKrisnadi,👍🏼,👍🏼
@yulianasari9494,"Ehhhhh,, aku pernah baca novel, kayak gini jg kisah ny,, mirip bgt.. Sumpahhhh,","ehhhhh,, aku pernah baca novel, kayak gini jg kisah ny,, mirip bgt.. sumpahhhh,"
@meltamaulana7903,Gilaaa inii ceritaaa kereen banget!! Penghujung 2024 baru tau akuuuuuu 😂,gilaaa inii ceritaaa kereen banget!! penghujung 2024 baru tau akuuuuuu 😂
@irwanchandra9867,Berasa cerita dongeng.. Wkwkwk..,berasa cerita dongeng.. wkwkwk..
@rasiobintang-w2u,Enak kayak nya di nikahin jin tampan.. Woeeee jin jin yg cakep... Nikahin gue.,enak kayak nya di nikahin jin tampan.. woeeee jin jin yg cakep... nikahin gue.
@KariahLimat,aku 10 tahun😮😮😮😢😢😢😂,aku 10 tahun😮😮😮😢😢😢😂
@mbakm2612,Tpi kok bisa gitu ya😮,tpi kok bisa gitu ya😮
@adingili4628,Kok sama kek aku 🙂,kok sama kek aku 🙂
@keysha2103,"Kak,boleh minta salinan ceritanya??mau dijadiin Novel,dan aku minta izin untuk dijadiin Novel yaa kakk😊","kak,boleh minta salinan ceritanya??mau dijadiin novel,dan aku minta izin untuk dijadiin novel yaa kakk😊"
@deaamndptr,seru banget part ini😭😭,seru banget part ini😭😭
@AlulaBungazulaika,lanjut yaaa ka kalau ada part2,lanjut yaaa ka kalau ada part2
@ShiitaIv,KHW ter-FAV 🔥,khw ter-fav 🔥
@RifqoFauziyahZahra,plis suruh tiara tes DNA anaknya,plis suruh tiara tes dna anaknya
@gapunyanama478.,PLS INI HARUS DI FILM KAN SIEEH SERU BANGET ANJIR,pls ini harus di film kan sieeh seru banget anjir
@RayaAshilla,Penasaran sama muka anak nya dah😭,penasaran sama muka anak nya dah😭
@finnaa6061,sekarang umur tiara 30tahun,sekarang umur tiara 30tahun
@razahra03,Terus laki nya tiara sampe sekarang ngga tau?,terus laki nya tiara sampe sekarang ngga tau?
@FitriaFadil,si cowo seperti pangeran itu di alam nya juga manusia atau cuma setan /jin😢😢,si cowo seperti pangeran itu di alam nya juga manusia atau cuma setan /jin😢😢
@ekasusanti-k1k,"tp aq jujur pernh jg bermimpi bertemu sm almarhum istri suami aq,dlm mimpi aq dia dtng memberikan sesuatu barang seperti ikat pingang baru msh ada plastik nya buat aq trus almarhum istri nya berpesan sm aq jaga baik2 barang ini jgn di kasih kn sm orang mana pun pada hal aq sebelum nya tdk pernh jumpa sm sekali sm almarhum kenp bisa ada mimpi aq nadia sekitar setahun yg llu aq terbangun sekitar jam 2 malam klau tdk salh bulan puasa aq heran bercampur bingung trus aq tlpn suami aq ada apa ini aq mencerita kn soal mimpi aq","tp aq jujur pernh jg bermimpi bertemu sm almarhum istri suami aq,dlm mimpi aq dia dtng memberikan sesuatu barang seperti ikat pingang baru msh ada plastik nya buat aq trus almarhum istri nya berpesan sm aq jaga baik2 barang ini jgn di kasih kn sm orang mana pun pada hal aq sebelum nya tdk pernh jumpa sm sekali sm almarhum kenp bisa ada mimpi aq nadia sekitar setahun yg llu aq terbangun sekitar jam 2 malam klau tdk salh bulan puasa aq heran bercampur bingung trus aq tlpn suami aq ada apa ini aq mencerita kn soal mimpi aq"
@adraasyf,Kaya halu wqwq😭 [ mnurut aku aja ],kaya halu wqwq😭 [ mnurut aku aja ]
@itarosiana7859,Nonton ke 2xnya 😊,nonton ke 2xnya 😊
@FitriaFadil,sepanjang nadia omara cerita aku bisa membayangkan ceritanya,sepanjang nadia omara cerita aku bisa membayangkan ceritanya
